2011/12/07	55.6,0.20G
2011/12/08	41.6,1.80G
2011/12/09	42.3,0.16G
2011/12/10	42.6,0.00G
2011/12/11	33.8,0.00G
2011/12/12	37.7,0.00G
2011/12/13	39.0,0.00G
2011/12/14	43.0,0.00G
2011/12/15	51.3,0.00G
2011/12/16	50.6,0.00G
2011/12/17	38.8,0.00G
2011/12/18	28.3,0.00G
2011/12/19	36.0,0.00G
2011/12/20	45.4,0.00G
2011/12/21	48.7,0.01G
2011/12/22	55.0,0.11G
2011/12/23	47.4,0.81G
2011/12/24	33.8,0.75G
2011/12/25	37.5,0.00G
2011/12/26	42.7,0.00G
2011/12/27	43.8,0.00G
2011/12/28	45.7,1.02G
2011/12/29	30.0,0.00G
2011/12/30	42.8,0.00G
2011/12/31	50.6,0.00G
